Data,Hora,Tipo,Resultado
09/04/2026,14:48,pH,Pasta de referência 'pH' não encontrada
09/04/2026,14:50,pH,Pasta de referência 'pH' não encontrada
09/04/2026,14:53,pH,Nenhuma região selecionada
09/04/2026,14:53,pH,Nenhuma região selecionada
09/04/2026,14:54,pH,Pasta de referência 'pH' não encontrada
09/04/2026,14:54,pH,Pasta de referência 'pH' não encontrada
09/04/2026,14:55,pH,Pasta de referência 'pH' não encontrada
09/04/2026,14:56,pH,Pasta de referência 'pH' não encontrada
09/04/2026,14:59,pH,Pasta de referência 'pH' não encontrada
09/04/2026,15:00,ph,Pasta de referência 'ph' não encontrada
09/04/2026,15:03,ph,Pasta de referência 'ph' não encontrada
09/04/2026,15:03,ph,"pH detectado: 7,6"
09/04/2026,15:05,amônia,Pasta de referência 'amônia' não encontrada
09/04/2026,15:09,ph,"pH detectado: 7,6"
09/04/2026,15:09,ph,"pH detectado: 7,6"
09/04/2026,15:10,ph,"pH detectado: 7,6"
09/04/2026,15:11,amonia,"Amonia analisada com pH 7,6"
09/04/2026,15:15,ph,"pH detectado: 7,6"
09/04/2026,15:15,amonia,Amonia analisada com pH 0.078
