<<<<<<< HEAD,Data,Hora,Tipo,Resultado
Resultado,,,,
,29/04/2026,16:09,ph,"pH: 7,6"
,29/04/2026,16:12,ph,"pH: 7,6"
,29/04/2026,16:14,ph,"pH: 7,2"
,29/04/2026,16:15,ph,"pH: 7,0"
,29/04/2026,16:16,ph,"pH: 7,2"
,29/04/2026,16:17,ph,"pH: 7,0"
,29/04/2026,16:18,ph,"pH: 7,0"
,29/04/2026,16:26,amonia,"Amonia: 2,00 | Temp: 28 | pH: 7,0 | Critica: 0.014"
,29/04/2026,16:28,amonia,"Amonia: 0,50 | Temp: 28 | pH: 7,0 | Critica: 0.003"
,29/04/2026,16:30,amonia,"Amonia: 2,00 | Temp: 28 | pH: 7,0 | Critica: 0.014"
,29/04/2026,16:31,amonia,"Amonia: 1,00 | Temp: 28 | pH: 7,0 | Critica: 0.007"
,29/04/2026,16:33,amonia,"Amonia: 0,50 | Temp: 28 | pH: 7,0 | Critica: 0.003"
,29/04/2026,16:41,oxigenio,"oxigenio: 11,0"
,29/04/2026,16:41,oxigenio,"oxigenio: 11,0"
,29/04/2026,16:42,oxigenio,"oxigenio: 11,0"
,29/04/2026,16:42,oxigenio,"oxigenio: 8,0"
,29/04/2026,16:44,oxigenio,"oxigenio: 8,0"
,29/04/2026,16:44,oxigenio,"oxigenio: 11,0"
,30/04/2026,16:03,ph,"pH: 6,6"
,30/04/2026,16:04,ph,"pH: 6,2"
,30/04/2026,16:05,ph,"pH: 6,4"
,30/04/2026,16:06,ph,"pH: 6,2"
,30/04/2026,16:07,ph,"pH: 6,2"
,30/04/2026,16:08,ph,"pH: 6,8"
,30/04/2026,16:09,ph,"pH: 6,2"
,30/04/2026,16:19,amonia,"Amonia: 1,00 | Temp: 28 | pH: 6,2 | Critica: Não crítica"
,30/04/2026,16:21,amonia,"Amonia: 0,50 | Temp: 28 | pH: 6,2 | Critica: Não crítica"
,30/04/2026,16:22,amonia,"Amonia: 0,50 | Temp: 28 | pH: 6,2 | Critica: Não crítica"
,30/04/2026,16:31,oxigenio,"oxigenio: 11,0"
,30/04/2026,16:32,oxigenio,"oxigenio: 11,0"
,30/04/2026,16:33,oxigenio,"oxigenio: 8,0"
,30/04/2026,16:50,nitrito,"nitrito: 0,25"
,30/04/2026,16:51,nitrito,"nitrito: 0,25"
,30/04/2026,16:51,nitrito,"nitrito: 0,25"
