pH	    Temp	0.25	0.5	    1.0 	2.0	    3.5 	6.5
6.6	    22	    0.001	0.001	0.002	0.004	0.006	0.012
6.6	    25	    0.001	0.001	0.002	0.005	0.008	0.014
6.6	    28	    0.001	0.001	0.003	0.006	0.011	0.020

6.8	    22	    0.001	0.001	0.003	0.006	0.011	0.020
	    25	    0.001	0.002	0.004	0.007	0.013	0.023
	    28	    0.001	0.002	0.005	0.009	0.016	0.029

7.0	    22	    0.001	0.002	0.005	0.009	0.016	0.029
	    25	    0.001	0.003	0.006	0.011	0.020	0.037
	    28	    0.002	0.003	0.007	0.014	0.025	0.044

7.2	    22	    0.002	0.004	0.007	0.014	0.025	0.047
	    25	    0.002	0.004	0.009	0.018	0.032	0.059
	    28	    0.003	0.006	0.011	0.022	0.039	0.073

7.4	    22	    0.003	0.006	0.011	0.023	0.040	0.074
	    25	    0.004	0.007	0.014	0.028	0.049	0.092
	    28	    0.004	0.009	0.017	0.034	0.060	0.112

7.6	    22	    0.004	0.009	0.018	0.036	0.062	0.116
	    25	    0.006	0.011	0.022	0.045	0.078	0.145
	    28	    0.007	0.014	0.027	0.054	0.095	0.176

7.9	    22	    0.009	0.018	0.036	0.072	0.127	0.234
	    25	    0.011	0.022	0.044	0.090	0.156	0.289
	    28	    0.014	0.028	0.055	0.109	0.191	0.353

8.1	    22	    0.014	0.028	0.056	0.111	0.194	0.362
	    25	    0.017	0.034	0.068	0.136	0.238	0.441
	    28	    0.021	0.042	0.083	0.166	0.289	0.538

8.3	    22	    0.022	0.043	0.085	0.170	0.298	0.552
	    25	    0.026	0.052	0.104	0.208	0.363	0.674
	    28	    0.032	0.063	0.126	0.252	0.440	0.817

8.5	    22	    0.032	0.064	0.128	0.256	0.448	0.830
	    25	    0.039	0.077	0.155	0.309	0.540	1.005
	    28	    0.047	0.092	0.185	0.370	0.647	1.201

8.7	    22	    0.047	0.094	0.187	0.374	0.654	1.213
	    25	    0.056	0.110	0.222	0.439	0.769	1.440
	    28	    0.066	0.129	0.260	0.520	0.909	1.688
